breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Bohemian Shepherd,"**The Bohemian Shepherd: A Versatile and Devoted Companion**

The Bohemian Shepherd, often hailed for its remarkable intelligence and spirited demeanor, is an athletic and agile breed that embraces new challenges with enthusiasm. This inherent versatility makes them exceptional participants in a wide array of activities, constantly proving their adaptability and drive.

Whether in competitive arenas or practical roles, the Bohemian Shepherd consistently shines. Their quick wit and physical prowess make them naturals for high-energy dog sports like agility, dog dancing, and the demanding Schutzhund. Beyond sports, their keen senses and trainability are invaluable in critical fields such as search and rescue, nose work, tracking, and obedience. They also excel in traditional pastoral work, demonstrating their innate herding instincts. Always eager to please and capable, they are increasingly making their mark in newer disciplines like coursing, dock diving, and endurance tests. Furthermore, their stable temperament and devotion make them outstanding candidates for vital roles as therapy and service dogs.

Beyond their impressive working capabilities, the Bohemian Shepherd truly excels as a cherished family member. They are deeply devoted to their human companions, displaying a particular adoration for children, making them an excellent choice for active families. This breed thrives on companionship and loves to be an integral part of daily family life. When properly socialized from a young age, they integrate seamlessly with other household pets, further solidifying their reputation as a harmonious and loving addition to any home.

For more information about this captivating breed, please contact:
Bohemian Shepherd Club of North America
Email: bscnainfo@gmail.com","Friendly, Devoted, Alert and Intelligent",,49.022,55.118,16.78,27.22,12,15,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.6,Alert/Responsive
Bolognese,"The Bolognese, affectionately known as ""Bolos,"" is a charming, small companion dog originating from Italy, renowned for its distinctive long, pure-white, cotton-like coat. Far from stocky, they possess a delicate yet sturdy build, perfectly suited for their role as beloved lapdogs.

Tracing their lineage back to ancient Roman nobility, Bolos were treasured gifts among aristocrats and royals, prized for their delightful personalities and elegant appearance. They were the pampered pets of the elite, a role they continue to embrace today.

Beneath their fluffy exterior lies a calm, intelligent, and deeply devoted spirit. Bolos are wonderfully affectionate and thrive on human companionship, often forming strong bonds with their families. While naturally serene and faithful, they also possess a playful side, enjoying gentle games and interactive toys. They are generally easy-going and love to be involved in household activities.

Though typically friendly, some Bolognese may exhibit a touch of shyness towards strangers initially. However, with proper early socialization, they quickly warm up, revealing their charming and amiable nature.

Their profound devotion comes with a strong need for companionship. The Bolognese is particularly prone to separation anxiety and does not cope well when left alone for extended periods. This makes them ill-suited for individuals with demanding 9-5 work schedules or those who are frequently away from home. They thrive in environments where they can be close to their people, making them ideal companions for retirees, work-from-home individuals, or families with constant presence.","Playful, Easy-Going, Devoted",,25.4,30.48,2.49,4.08,12,14,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.4,Calm,0.6,Agreeable,0.8,Friendly
Border Collie,"The Border Collie, a highly athletic and medium-sized herding dog, typically stands 18 to 22 inches at the shoulder. Their muscular yet nimble build reflects a heritage of tireless work, unmarred by passing fads. They come in both rough and smooth coats, showcasing a striking variety of colors and patterns.

A defining feature is their intelligent expression, particularly the keen, almond-shaped eyes that hold the breed's famous ""herding eye""—an intense, focused gaze. On the move, Border Collies are marvels of agility, balance, and endurance, among the most athletic dogs in the canine kingdom.

Their exceptional intelligence, athleticism, and innate trainability make them perfect for activities like agility, herding, or obedience. A Border Collie thrives when given a job; mental and physical engagement are paramount for their happiness, preventing boredom and potential behavioral issues. While deeply devoted to their families, they can be reserved with strangers.

These remarkably bright ""workaholics"" are amazing companions for active owners. However, their demanding needs mean they are not suited for every home. Prospective owners must be prepared to dedicate significant time, energy, and resources to their mental stimulation and physical exercise. Once their 'workday' is done, these energetic dogs happily transform into affectionate cuddle companions.","Affectionate, Smart, Energetic",35,45.72,55.88,13.61,24.95,12,15,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,1,Needs Lots of Activity,1,Eager to Please,0.4,Reserved with Strangers
Border Terrier,"The Border Terrier is easily distinguished among small terriers by its unique head shape, affectionately termed an “otter head” by breed enthusiasts. Standing between 11 to 16 inches at the shoulder, these plucky dogs are also notably longer in leg than many of their terrier cousins. Their hallmark dense, wiry coat, which is remarkably easy to maintain, comes in shades of grizzle and tan, blue and tan, wheaten, or red.

Originally bred as tough, ""hard as nails"" working dogs for the challenging country terrain, the Border Terrier embodies a fascinating duality. Outdoors, they are tenacious and love to explore, driven by a keen hunting instinct that warrants careful supervision around smaller prey like cats or squirrels. Yet, inside the home, they transform into affectionate, good-tempered, and highly trainable companions.

Borders are known for their upbeat and adaptable nature. Their boundless energy and cheerful disposition make them excellent childhood playmates. Despite their origins as country dogs, they adjust remarkably well to city living, provided they receive ample daily exercise to satisfy their adventurous spirit. Generally amicable with other dogs, their charming blend of ruggedness and devotion makes the Border Terrier a cherished and popular pet in both urban and rural settings.","Affectionate, Happy, Plucky",88,30.48,38.1,5.22,7.03,12,15,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly
Borzoi,"Meet the Borzoi, an impressively elegant sighthound, once known as the Russian Wolfhound. These aristocratic dogs embody a unique blend of strength, grace, and glamour. Males typically stand over 28 inches tall and weigh 75-105 pounds, with females being proportionally smaller. Their luxurious silky coats drape over a lean, athletic build, hinting at their ancient sighthound heritage.

Originally bred in Russia to relentlessly pursue and pin fierce wolves, the Borzoi's powerful pursuit instinct remains strong. A sight of a running squirrel or cat will quickly engage their formidable speed, often reaching 35-40 miles per hour. Therefore, a secure, spacious, and fenced area is essential for their exercise and safety.

Despite their hunting prowess, Borzoi are cherished for their calm, agreeable, and even cat-like temperament indoors. They are affectionate family dogs, though their dignified nature means they prefer gentle companionship over boisterous roughhousing. While intelligent, their quiet stubbornness requires training with patience, consistency, and a good sense of humor. Owning a Borzoi means embracing a princely companion of unparalleled beauty and serene devotion.","Affectionate, Loyal, Regally Dignified",103,66.04,71.12,27.22,47.63,9,14,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive
Boston Terrier,"Meet the Boston Terrier, affectionately known as ""The American Gentleman""—a title perfectly suited for this dapper, impeccably mannered companion. Compact and well-balanced, these lively little dogs typically weigh no more than 25 pounds, sporting a distinctive ""tuxedo"" coat of white paired with black, brindle, or the subtle red cast of seal.

Their most captivating features include a charmingly square head, a short, intelligent muzzle, and large, round eyes that sparkle with kindness, curiosity, or a hint of mischief. Watching a Boston move is a delight; their jaunty, rhythmic gait reflects their ever-alert and cheerful disposition.

A true urbanite at heart, the Boston Terrier excels as a city dweller. Sturdy yet wonderfully portable, they are intensely people-oriented, always ready for a brisk park stroll or a leisurely visit to an outdoor café. Beyond their smart appearance, Bostons possess a bright mind and a natural comedic flair, guaranteeing a steady stream of smiles and laughter. This delightful breed is more than just a pet; it's a charismatic family member, embodying charm, wit, and unwavering devotion.","Friendly, Bright, Amusing",21,38.1,43.18,5.44,11.34,11,13,Non-Sporting Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,1,Eager to Please,1,Outgoing
Bouvier des Flandres,"The imposing Bouvier des Flandres stands up to 27.5 inches, a testament to its powerful build: heavy bone, robust muscles, and a dense, weatherproof coat. Its impressive head, accented by a distinctive beard and mustache, hints at its serious demeanor. Originally bred to perform nearly every task on Belgian and French farms – from herding and guarding livestock to pulling carts – the Bouvier earned its keep as a versatile, all-purpose worker.

Yet, beneath this burly exterior lies a profound character. Their keen intelligence, immense heart, and unwavering loyalty transcend their working roots, captivating dog lovers worldwide. This breed's formidable work ethic demands an outlet. Today, Bouviers excel as vigilant watchdogs and protectors, and are enthusiastic competitors in dog sports like herding, obedience, and protection.

Possessing a strong will and an independent spirit, the Bouvier thrives with experienced owners committed to providing ample space, consistent training, and engaging activities. This ""Dog of Flandres"" truly embodies the spirit of a bygone era when a dog's worth was measured by its ability to work tirelessly alongside its human.","Affectionate, Courageous, Strong-Willed",84,59.69,69.85,31.75,49.90,10,12,Herding Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
Boxer,"A well-made Boxer is a sight to behold, embodying an impressive blend of power and grace. Males typically stand up to 25 inches at the shoulder, with females being slightly smaller. Their strong, muscular physique is evident beneath a short, tight-fitting coat that comes in striking fawn or brindle, often adorned with handsome white markings. The Boxer's distinctive face, featuring dark brown eyes and a thoughtful, wrinkled forehead, conveys an alert and curious expression. True to their name, Boxers move like natural athletes: smooth, graceful, and with a powerful forward thrust.

Beyond their athletic good looks, Boxers are cherished for their vibrant and engaging personalities. They are famously upbeat, playful, and deeply affectionate, forming strong bonds with their families. Their patience and inherent protective nature make them wonderful companions, particularly with children. Boxers take their roles as vigilant watchdogs and fearless family guardians seriously, ready to meet any perceived threat with unwavering courage.

Despite their protective instincts, Boxers are often endearingly silly and full of zest for life. Early socialization is crucial for this intelligent breed, ensuring they grow into well-adjusted adults comfortable around various people and other animals. With their loyalty, sharp minds, strong work ethic, and undeniable charm, the Boxer truly offers the ""whole doggy package."" It’s no wonder this bright, alert, and always courageous breed has long been among America's most beloved canine companions.","Bright, Fun-Loving, Active",11,54.61,63.5,6.80,36.29,10,12,Working Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.8,Easy Training,1,Outgoing
Boykin Spaniel,"The Boykin Spaniel is a captivating medium-sized gundog, instantly recognizable by its striking solid-brown coat, which ranges from a rich liver to a luscious chocolate. Larger and more rangy than a Cocker Spaniel but more compact than a Springer, the Boykin possesses large, feathery ears that frame an expression of soulful intelligence.

Hailing from the lakes and swamps of their native South Carolina, this breed was specifically developed as a flushing and retrieving dog. Their unique, slightly webbed feet are a hallmark, enabling them to swim with remarkable agility, often likened to seals, making them exceptionally adept in aquatic environments. For years, the Boykin was the cherished secret of Carolina waterfowl and wild turkey hunters.

Beyond their formidable working prowess, Boykins exhibit a delightful dual personality. While an ""absolute tiger in the field""—avid, eager, and highly trainable—they seamlessly transform into mellow, sweet-natured companions at home. This makes them not only tenacious bird dogs but also wonderful family pets. Once South Carolina's best-kept secret, this charming breed has now captivated a wider audience, celebrated for its unique blend of athleticism and affectionate temperament.","Friendly, Eager, Lovable",100,35.56,45.72,11.34,18.14,10,15,Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,1,Eager to Please,0.6,Alert/Responsive
Bracco Italiano,"The Bracco Italiano, often simply called the Italian Pointing Dog, is a breed steeped in ancient European hunting history. Heralded as one of the oldest pointing breeds, its lineage can be traced back through centuries, serving as a testament to its enduring qualities as a versatile and reliable gun dog.

This noble canine cuts an impressive figure: powerful and athletic, with lean, well-muscled limbs and a distinctively sculpted head that speaks to its aristocratic heritage. Built for endurance and performance, the Bracco is equally at home traversing rugged terrain in pursuit of game or patiently waiting for the hunter's command.

Beyond its physical prowess, the Bracco Italiano shines with an exceptional temperament. Intelligent, docile, and remarkably easy to train, it forms a strong, devoted bond with its family. While tireless and tenacious in the field, demonstrating adaptability to all types of hunting, this breed transforms into a remarkably gentle and affectionate companion within the home environment.

Although its roots are deeply embedded in Italian history, the Bracco Italiano only gained significant recognition in the United States in the 1990s. Since then, it has continued to prove its mettle, remaining true to its heritage as a preeminent hunting partner while enchanting families with its calm and loving nature.","Affectionate, Intelligent, Enthusiastic",,53.34,68.58,24.95,40.82,10,14,Miscellaneous Class,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.8,Easy Training,0.6,Alert/Responsive
Braque du Bourbonnais,"Meet the Braque du Bourbonnais (pronounced brock-do-bor-bon-NAY), an ancient French pointing dog with roots tracing back to the 15th century in the historic Bourbonnais province. By the 1800s, this distinctive breed was celebrated by French hunters for its natural taillessness and striking fawn and liver ticking. Also known as the Bourbonnais Pointing Dog, this breed embodies a remarkable duality: a kind and affectionate companion at home, and a serious, intelligent, and adaptable hunter in the field.

His calm and gentle demeanor makes him an ideal partner for the foot hunter, while his relatively compact size and easy-care short coat make him perfectly suited for families who enjoy both hunting and a cherished household pet. The Braque du Bourbonnais has found a strong following in North America, with US registrations sometimes surpassing those in its native France, a testament to its growing appeal.

For more information on this versatile and endearing breed, contact the Braque du Bourbonnais Club of America:

**Club Contact Details**
**Club:** Braque du Bourbonnais Club of America
**Name:** Cindy Petkwitz
**Email:** villagelock58@comcast.net
**Address:** 572 Hollywood, Grosse Pointe, MI 48236
**Phone:** (313) 881-8603","Affectionate, Adaptable, Gentle",,48.26,57.15,15.88,24.04,10,12,Foundation Stock Service,0.2,Occasional Bath/Brush,,,0.6,Regular Exercise,1,Eager to Please,0.6,Alert/Responsive
Braque Francais Pyrenean,"Hailing from the demanding terrain of the Pyrenees Mountains, straddling the French and Spanish border, the Braque Francais Pyrenean is a true testament to centuries of selective breeding. This well-proportioned, medium-sized dog, with its signature soft, shorthaired coat, was meticulously developed to navigate and hunt the very rugged and arid landscapes of its namesake.

More than just an ancient breed, the Braque Francais Pyrenean holds a significant place in canine history, widely considered the common ancestor to all of today’s shorthaired pointing breeds. While the Braque Francais family includes two distinct types – the larger Gascony and the Pyrenean – it is the Pyrenean type that has gained greater popularity, known for its slightly more compact size.

Beyond its formidable prowess in the field, where its natural retrieving instinct and unwavering love for water truly shine, the Braque Francais Pyrenean possesses an incredibly endearing temperament. Gentle, friendly, sociable, and notably submissive, these dogs forge deep bonds, making them cherished companions within the home. This rustic French breed, affectionately known in English as the French Pointing Dog Pyrenean Type, embodies a perfect blend of rugged utility and charming companionship.","Friendly, Smart, Willing to Please",,46.99,58.42,18.14,24.95,,,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,1,Needs Lots of Activity,,,,
Briard,"The Briard, a magnificent French herding dog, captures attention with its striking appearance and remarkable character. Known for a wavy, shaggy coat that comes in black, gray, or tawny, their distinctive ""peek-a-boo"" hairdo, luxurious beard, and expressive eyebrows frame a look often described as ""frank and questioning."" Standing 22 to 27 inches at the shoulder, these burly and rugged canines move with a surprisingly nimble-footed gait, showcasing their athletic build.

Beyond their dashing good looks, Briards are quintessential herders: highly intelligent, trainable, and possessing an unwavering devotion to their family. They view children as their special flock, offering a protective eye, while remaining discerning and wary of strangers. With a lineage capable of managing hundreds of sheep, these tireless, large dogs possess an impressive work drive and an infectious zest for life. Novice owners may find their boundless energy and need for a purpose challenging, as Briards thrive when given mental and physical stimulation.

Packing immense loyalty, love, and spirit into their ample frame, the Briard is affectionately known as a ""heart wrapped in fur."" Their muscular build and elegant presentation radiate a distinct aura of Gallic romance and sophistication, making them truly unique companions.","Confident, Smart, Faithful",132,55.88,68.58,24.95,45.36,12,12,Herding Group,0.8,Daily Brushing,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Brittany,"The Brittany is a striking and remarkably versatile gundog, cherished by sportsmen and active families alike. Standing approximately 20 inches at the shoulder, they possess a compact yet athletic build—smaller than setters but leggier than spaniels, combining rugged strength with graceful, quick movements. Their beautiful, boldly patterned coat is a breed hallmark, featuring combinations of pristine white with vivid orange or liver (reddish-brown). A ""softness"" in their expression, highly valued by bird-dog enthusiasts, is complemented by high-set ears that convey their inherent eagerness and attentiveness.

Beyond their captivating looks, Brittanys are defined by their boundless zeal and remarkable versatility, making them peerless hunters. This same drive and intelligence make them excel in a wide array of dog sports. Obedience, agility, flyball, dock diving—you name it, this highly trainable breed approaches every activity with enthusiasm.

An ideal fit for those seeking an all-purpose hunting partner, a dedicated dog-sport teammate, or an energetic companion for an upbeat, outdoorsy family, the Brittany thrives on activity. Bright and eager at home, and absolutely tireless afield, they require significant daily exercise. They flourish when this activity is shared with their favorite humans, cementing their role as a truly engaged partner in both sport and family life.","Bright, Fun-Loving, Upbeat",26,44.45,52.07,13.61,18.14,12,14,Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,1,Needs Lots of Activity,1,Eager to Please,0.8,Friendly
Broholmer,"Hailing from Denmark, the Broholmer is a majestic mastiff-type dog known for its calm, good-natured, yet watchful and confident demeanor. This strongly built, rectangular breed boasts a wide, massive head, indicative of its power and heritage.

Historically, the Broholmer was a common sight in Denmark around the 1800s, particularly in Copenhagen, earning it the affectionate nickname ""the butcher's dog"" for its presence at shop doorsteps. More than just a local fixture, these dogs served vital roles as protectors of homes and diligent herders and guards of cattle in both farm and city market settings.

Today, while its imposing size is a natural deterrent to intruders, the Broholmer's true essence is its heart of gold. This affectionate giant adores being close to its family, often attempting to ""snuggle"" on laps despite its considerable weight! Excellent with children and other dogs, their sheer size sometimes leads them to underestimate their own bulk, making supervised interactions advisable. Surprisingly agile for a dog of its stature, the Broholmer enjoys active pursuits like fetching balls, catching frisbees, and even participating in agility. An eager companion, this breed happily joins in any family adventure, from camping and hiking to picnics and park strolls.

**Broholmer Club of the USA**
Name: Kathy Kimmeth
Email: amberdogs@new.rr.com
Phone: (920) 410-0142 (text only)","Friendly, Watchful, Loving",,69.85,74.93,40.82,68.04,8,10,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.4,Calm,,,,
Brussels Griffon,"The Brussels Griffon packs a big personality into a compact 5-to-12-pound package. One look into their famously large, expressive eyes, often described as “almost human,” and you’ll be utterly captivated. Griffs come in four distinct colors—red, belge (a blend of black and reddish-brown), black and tan, and solid black. Adding to their unique charm, they sport two coat types: a smooth, sleek coat reminiscent of a Pug, or a wiry, rough coat akin to a Schnauzer. The rough-coated variety’s distinct black muzzle, beard, and mustache earned them the charming moniker “bearded dogs.”

With their fringed facial hair and thoughtful gaze, many describe the Griff’s appearance as that of a “worldly, French-speaking philosopher.” Beneath this intellectual facade lies a sturdy, thickset body, moving with a purposeful trot that suggests a dog who knows exactly what they want.

Beyond their unique look, Brussels Griffons are renowned for their keen intelligence, alertness, and sociable nature. They are eager to please and easily trained. While playful and energetic, their small size and sensitive disposition make them better suited as gentle companions rather than roughhousing playmates for young children. Deeply devoted, Griffs form strong bonds with their chosen human and have a low tolerance for loneliness, preferring to be a constant shadow. This charming, complex character, often comically self-important, brings years of love and laughter to discerning grownups.","Loyal, Alert, Curious",98,17.78,25.4,3.63,4.54,12,15,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
Bull Terrier,"The Bull Terrier is a truly distinctive and robust terrier, instantly recognizable by its signature long, egg-shaped head, often referred to as an ""egghead."" This unique feature is complemented by small, triangular eyes that glisten with good humor and erect, pointed ears. Beneath their striking appearance lies a powerful, muscular, and balanced physique, allowing them to move with a characteristic jaunty stride that conveys both agility and determination. Their short, dense coat comes in two main varieties: pure white, or any other color, including beautiful brindle patterns, which can be solid or have white markings.

Beyond their iconic look, Bull Terriers are celebrated for their vibrant, often comical personalities. They are the quintessential ""personality breed""—playful, endearing, and wonderfully mischievous, yet always profoundly devoted to their human families. These exuberant companions thrive on affection and interaction, making them unsuitable for lengthy periods of solitude.

To ensure a happy and well-adjusted Bull Terrier, early and consistent socialization with people and other dogs is paramount. They require firm but loving training, ample daily exercise to channel their considerable energy, and plenty of quality time with their beloved humans. When these needs are met, the Bull Terrier transforms into an incredibly loyal, lovable, and endlessly entertaining companion, truly one of dogdom's most unique and cherished characters.","Playful, Charming, Mischievous",62,53.34,55.88,22.68,31.75,12,13,Terrier Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly
Bulldog,"The Bulldog is truly in a class of its own, instantly recognizable by its distinctive, lovable features. That iconic ""sourmug"" face, complete with deep wrinkles, a pushed-in nose, an undershot jaw, and ample jowls, combined with their small rose ears, creates an expression that's both dignified and endearing. Their thick-set, low-slung, and well-muscled body, covered in a short, smooth, glossy coat (available in a variety of colors and patterns), completes their unique silhouette. Watch for their characteristic rolling gait, a signature move of the breed.

Don't let their sturdy build, often reaching 50 pounds, fool you into thinking they're too large for cuddles—Bulldogs are renowned lap dogs, always eager to snuggle up, even if it means trying to squeeze their entire body onto your lap! While they certainly appreciate a good nap, these aren't lazy dogs. They enjoy brisk walks and need regular, moderate exercise along with a careful diet to stay trim and healthy.

Their unique facial structure necessitates special care, particularly in warm weather. Due to their short snouts, Bulldogs are highly susceptible to overheating, making air-conditioned environments essential during hot and humid months to prevent labored breathing.

Kind yet courageous, friendly but dignified, the Bulldog is a docile and loyal companion whose tenacious spirit has made them a universal symbol of courage. These charming ""bruisers"" adapt seamlessly to life in both town and country, making them beloved family members.","Friendly, Courageous, Calm",5,35.56,38.1,18.14,22.68,8,10,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
Bullmastiff,"The formidable Bullmastiff commands attention with its imposing presence. Standing up to 27 inches at the shoulder and weighing between 100 and 130 pounds, this powerful canine is undeniably 'a whole lot of dog.' While slightly less massive than its Mastiff cousin, the Bullmastiff’s true character is captured by its magnificent, broad head. Dark, intelligent eyes, high-set V-shaped ears, and a deep, powerful muzzle create an expression of unwavering alertness, quiet confidence, and remarkable intelligence.

This noble visage hints at their dual nature: a vigilant protector and a devoted family companion. Historically, Bullmastiffs were bred in 19th-century England by gamekeepers to track and hold poachers, earning them the moniker 'Gamekeepers' Night Dog' or 'the silent watchman.' Fearless and unwavering in their duty, they are equally renowned for their docile and affectionate nature at home, proving to be biddable and reliable companions for responsible owners.

As with any large, protective breed, early and consistent training and socialization are paramount to ensure a well-adjusted adult, especially while the puppy is still manageable. Their short, easy-care coats come in handsome shades of fawn, red, or brindle. The Bullmastiff's unique blend of strength and docility is a direct legacy of their carefully planned heritage, a deliberate cross between the powerful Mastiff and the courageous Bulldog.","Affectionate, Loyal, Brave",51,60.96,68.58,45.36,58.97,7,9,Working Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
Cairn Terrier,"The Cairn Terrier embodies a spirited ""Cairnishness""—a unique blend of a distinctive short, wide head and a free-moving, short-legged body that exudes strength without heaviness. Standing around 10 inches tall and 15 inches long, this sturdy little dog is famously shaggy, sporting a harsh, wiry double coat over a soft, downy underlayer. A Cairn’s alert presence is unmistakable: head, tail, and ears held high, with eyes shining brightly with intelligence.

Originally bred as fearless “earthdogs” in the rocky Scottish countryside, Cairns were tasked with rooting out foxes and other small, furred prey. This heritage explains their inherent love for exploration and digging, and their happy, busy, and curious nature. They truly embody the terrier qualities of gameness and independent thinking, yet remain fiercely loyal to their families.

Dubbed the “best little pal in the world” by a British breed club, the Cairn Terrier is perfectly sized for a lap-top snuggle but sturdy enough for energetic romps. They thrive on close family contact and offer unwavering devotion to owners who cherish their clever, spirited, and true-blue loyalty. For those seeking an intelligent, independent, and endlessly charming canine companion, the Cairn is truly unmatched.","Alert, Cheerful, Busy",69,24.13,25.4,5.90,6.35,13,15,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
Canaan Dog,"Meet the Canaan Dog, Israel's national dog and one of the AKC's most ancient breeds. These medium-sized, quick pasture dogs are a striking sight: lean and agile, standing 19 to 24 inches at the shoulder with a distinctive bushy tail. Their straight, harsh coat comes in diverse colors and patterns, complemented by expressive erect ears and dark almond eyes that convey an alert, inquisitive gaze. Naturally athletic, Canaans move with a brisk, tireless trot, making them ideal companions for active hikers and runners.

Beyond their rugged good looks, Canaans are renowned for their keen intelligence, confidence, and territorial nature. They thrive with experienced owners who establish clear leadership, as a passive approach can lead to the dog ""owning"" the household. Early socialization and consistent, positive reinforcement training are paramount. These versatile dogs excel in various activities, from agility and obedience to herding and sentry duty, showcasing their strong work ethic.

While devoted and docile with their families, Canaan Dogs are inherently aloof with strangers. Their ancient role as watchful guardians makes them ever-alert, vocal, and persistent protectors of their home and loved ones. A truly unique and rewarding companion for the right owner.","Confident, Alert, Vigilant",179,48.26,60.96,15.88,24.95,12,15,Herding Group,0.4,Weekly Brushing,1,Frequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Cane Corso,"Truly a breed to behold, the Cane Corso cuts an imposing figure. Standing nearly 28 inches at the shoulder and often exceeding 100 pounds, their powerful, muscular frame, large head, and alert expression immediately convey a sense of strength. This striking appearance, combined with an understated air of cool competence, is their first line of defense, giving them the undeniable demeanor of a professional bodyguard.

Originating from ancient Roman times, where their name aptly translates from Latin as ""bodyguard dog,"" the Corso's heritage is steeped in protection. Beyond their formidable physique, they are highly intelligent, intensely loyal, and surprisingly eager to please their human companions. This versatility allows them to excel as devoted family protectors, athletic competitors, and cherished companions.

However, the Cane Corso's assertive and confident nature means they thrive under experienced leadership. Without consistent guidance and early, thorough socialization with people and other dogs, their powerful will can inadvertently lead to them ""owning"" an unwitting owner. For such a magnificent guardian breed, responsible breeding and dedicated training are not just recommended, but vital.

Smart, trainable, and possessing an unwavering dedication to their families, the assertive and confident Cane Corso is a peerless protector. They represent a significant commitment, but for the right owner, they offer unparalleled loyalty and security.","Affectionate, Intelligent, Majestic",32,59.69,69.85,0.00,0.00,9,12,Working Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
Cardigan Welsh Corgi,"The Cardigan Welsh Corgi is a robust, low-slung breed, expertly designed for the demanding work of herding cattle. With their sturdy bone structure, short legs, and a deep, powerful chest, these dogs possess a deceptive agility and grace. Cardis typically weigh between 25 and 34 pounds, with females often falling at the lower end of the spectrum. Their striking coats come in a variety of colors, from rich reds to the popular and distinctive blue-merle pattern. A key differentiator from their close cousin, the Pembroke Welsh Corgi, is their tail – Cardigans proudly sport a full, brush-like tail, while Pembrokes are naturally tailless or docked.

Beyond their unique appearance, Cardigans are renowned for their intelligent, adaptable, and loyal nature. They are highly trainable, fiercely faithful, and serve as vigilant guardians, often surprising owners with a commanding ""big dog"" bark despite their compact size. Well-socialized Cardis exhibit a wonderful temperament, generally being excellent with children and agreeable with other household pets. These athletic and rugged herders thrive on both mental stimulation and physical activity, making them ideal companions for active families who enjoy outdoor adventures. The Cardigan Welsh Corgi truly embodies a masterpiece of selective breeding: a dog perfectly suited for its working heritage, yet equally cherished as a sweet-faced, devoted family member.","Affectionate, Loyal, Smart",68,26.67,31.75,11.34,17.24,12,15,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
Carolina Dog,"The Carolina Dog, often called the ""American Dingo,"" boasts a lineage as ancient as North America itself. Descended from the prehistoric canines that accompanied Paleo-Indians over the Bering land bridge, these remarkable dogs still roam wild in rural areas, predominantly near the Georgia-South Carolina border. However, their presence has been noted as far north as Ohio and Pennsylvania and west to Arizona, always favoring remote, rural landscapes.

Physically, the Carolina Dog embodies its wild heritage. A medium-sized sighthound, it possesses the lean, agile build of a jackal or wolf. Distinctive features include pointed ears, a fox-like snout, and a tail that curls sharply like a fishhook when raised. While strikingly similar to the Australian Dingo in appearance, they are taxonomically classified as *Canis familiaris*.

Their temperament is a fascinating blend of ancient instincts and profound loyalty. Naturally shy and suspicious of strangers, they are quick to sound the alarm when unfamiliar faces approach. However, once a Carolina Dog accepts a human into its ""pack""—a bond forged from their inherent, extreme pack mentality—their initial wariness transforms into unwavering devotion. These intelligent and adaptable dogs thrive when they feel secure within their chosen family unit.

For those interested in learning more or connecting with the breed community, the Carolina Dog Club of America is an excellent resource. You can reach President Lane Watkins directly via email at president@thecarolinadogclubofamerica.com.","Loyal, Independent, Reserved with Strangers",,45.085,49.53,13.61,24.95,,,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,1,Eager to Please,0.6,Alert/Responsive
